Temperature, Pressure, Relative Pressure, Approx altitude, Relative altitude, Calculated Height, Relative Calculated Height, 
20.87,100364.86,-10034.55,78.17,-7.99,795.4,25044.88,    
20.86,100362.12,-10037.84,78.4,-7.7,795.67,25045.17,    
20.86,100359.66,-10037.14,78.61,-7.78,795.63,25045.11,    
20.86,100360.96,-10035.55,78.5,-7.88,795.5,25044.99,    
20.87,100360.42,-10035.54,78.54,-7.9,795.51,25045,    
20.86,100356.57,-10038.69,78.87,-7.63,795.77,25045.27,    
20.86,100355.39,-10038.47,78.96,-7.69,795.77,25045.24,    
20.87,100355.86,-10036.05,78.92,-7.85,795.58,25045.05,    
20.87,100356.03,-10033.97,78.91,-8.07,795.42,25044.91,    
20.88,100355.14,-10035.36,78.99,-7.93,795.53,25045.04,    
20.87,100357.82,-10036.09,78.76,-7.87,795.57,25045.06,    
20.89,100362.14,-10032.43,78.4,-8.14,795.26,25044.75,    
20.88,100357.6,-10036.95,78.78,-7.8,795.63,25045.15,    
20.88,100357.6,-10035.97,78.78,-7.86,795.56,25045.04,    
20.88,100357.74,-10033.73,78.77,-8.05,795.39,25044.88,    
20.88,100360.52,-10034.19,78.53,-8.01,795.41,25044.91,    
20.89,100362.14,-10033.29,78.84,-7.64,795.33,25044.83,    
20.88,100357.6,-10037.82,78.78,-7.75,795.7,25045.21,    
20.89,100361.16,-10034.17,78.49,-8,795.4,25044.87,    
20.88,100360.53,-10037.32,78.53,-7.74,795.64,25045.15,    
20.87,100358.63,-10036.81,78.69,-7.79,795.62,25045.1,    
20.87,100360.94,-10035.61,78.5,-7.89,795.51,25045,    
20.87,100360.28,-10036.93,78.55,-7.77,795.61,25045.11,    
20.86,100360.96,-10035.2,78.5,-7.91,795.48,25044.96,    
20.87,100363.88,-10035.36,78.25,-7.91,795.47,25044.97,    
20.86,100360.96,-10038.34,78.5,-7.69,795.71,25045.21,    
20.87,100365.82,-10033.21,78.09,-8.09,795.29,25044.77,    
20.87,100362.39,-10040.51,78.38,-7.47,795.87,25045.38,    
20.88,100365.12,-10035.65,78.15,-7.89,795.48,25044.94,    
20.88,100368.22,-10035.14,77.89,-7.91,795.42,25044.92,    
20.88,100366.59,-10037.7,78.03,-7.73,795.62,25045.13,    
20.88,100369.53,-10035.38,77.78,-7.91,795.43,25044.91,    
20.88,100369.04,-10037.65,77.82,-7.72,795.6,25045.11,    
20.87,100368.44,-10037.2,77.87,-7.76,795.57,25045.06,    
20.87,100369.25,-10036.39,77.8,-7.82,795.5,25044.99,    
20.87,100369.42,-10037.83,77.57,-7.92,795.61,25045.11,    
20.87,100371.24,-10037.62,77.64,-7.7,795.58,25045.07,    
20.87,100375.63,-10036.17,77.35,-7.76,795.44,25044.93,    
20.87,100373.69,-10038.36,77.43,-7.67,795.62,25045.12,    
20.86,100375.83,-10038.17,77.25,-7.68,795.59,25045.07,    
20.86,100377.47,-10037.05,77.11,-7.77,795.49,25044.98,    
20.87,100379.25,-10036.88,76.96,-7.78,795.47,25044.96,    
20.86,100378.79,-10036.42,77,-7.79,795.44,25044.93,    
20.86,100377.64,-10037.87,77.1,-7.7,795.55,25045.06,    
20.86,100378.47,-10038.36,77.03,-7.66,795.58,25045.08,    
20.85,100376.25,-10039.74,77.22,-7.55,795.7,25045.19,    
20.84,100378.72,-10038.09,77.01,-7.68,795.56,25045.04,    
20.85,100377.56,-10037.8,77.1,-7.71,795.55,25045.04,    
20.84,100379.86,-10039.39,76.91,-7.55,795.65,25045.14,    
20.84,100379.04,-10039.66,76.98,-7.57,795.68,25045.16,    
20.84,100377.29,-10041.26,77.13,-7.42,795.81,25045.29,    
20.84,100381.99,-10034.33,76.73,-8,795.26,25044.72,    
20.83,100379.77,-10037.41,76.92,-7.76,795.5,25045.02,    
20.83,100381.07,-10037.76,76.81,-7.71,795.52,25045.02,    
20.83,100379.46,-10039.8,76.95,-7.54,795.68,25045.18,    
20.83,100380.28,-10040.12,76.88,-7.51,795.7,25045.18,    
20.83,100381.42,-10037.15,77.14,-7.38,795.47,25044.95,    
20.82,100380.62,-10036.46,76.85,-7.83,795.42,25044.92,    
20.82,100380.83,-10037.86,76.86,-7.67,795.53,25045.03,    
20.81,100377.58,-10040.46,77.1,-7.49,795.75,25045.24,    
20.82,100380.62,-10037.17,76.85,-7.78,795.48,25044.95,    
20.8,100375.5,-10040.8,77.28,-7.45,795.79,25045.29,    
20.79,100373.77,-10038.71,77.42,-7.63,795.64,25045.11,    
20.79,100372.95,-10038.55,77.49,-7.64,795.64,25045.12,    
20.78,100371.19,-10038.96,77.64,-7.61,795.68,25045.16,    
20.77,100370.13,-10038.02,77.73,-7.68,795.62,25045.1,    
20.78,100368.74,-10034.56,77.84,-7.98,795.37,25044.85,    
20.78,100367.15,-10040.59,77.98,-7.47,795.83,25045.34,    
20.77,100366.86,-10038.23,78,-7.67,795.66,25045.12,    
20.76,100364.3,-10038.91,78.22,-7.6,795.73,25045.21,    
20.77,100365.71,-10035.27,78.1,-7.92,795.45,25044.92,    
20.76,100362.17,-10039.85,78.4,-7.53,795.82,25045.32,    
20.75,100363.19,-10036.27,78.31,-7.81,795.54,25045.01,    
20.76,100364.13,-10036.05,78.23,-7.85,795.52,25045.01,    
20.75,100358.47,-10041.32,78.71,-7.41,795.96,25045.45,    
20.75,100362.86,-10035.02,78.42,-7.86,795.45,25044.9,    
20.75,100361.74,-10036.27,78.43,-7.82,795.55,25045.05,    
20.74,100360.64,-10036.73,78.51,-7.83,795.6,25045.09,    
20.76,100364.97,-10032.41,78.16,-8.15,795.24,25044.73,    
20.74,100361.78,-10038.16,78.43,-7.66,795.69,25045.22,    
20.76,100366.44,-10033.15,78.04,-8.1,795.28,25044.76,    
20.75,100366.14,-10037.59,78.06,-7.71,795.62,25045.14,    
20.75,100364.85,-10035.74,78.17,-7.87,795.49,25044.98,    
20.74,100367.67,-10035.8,77.93,-7.85,795.47,25044.97,    
20.73,100364.92,-10035.89,78.16,-7.84,795.5,25045,    
20.73,100363.47,-10036.87,78.29,-7.8,795.58,25045.08,    
20.73,100361,-10037.02,78.49,-7.76,795.62,25045.1,    
20.73,100366.07,-10035.45,78.07,-7.9,795.46,25044.94,    
20.72,100363.54,-10038.55,78.28,-7.64,795.71,25045.21,    
20.73,100369.69,-10032.83,77.76,-8.12,795.23,25044.71,    
20.72,100366.32,-10040.75,78.05,-7.46,795.85,25045.38,    
20.71,100366.19,-10038.73,78.06,-7.63,795.7,25045.17,    
20.72,100370.08,-10033.55,77.73,-8.05,795.28,25044.76,    
20.7,100367.41,-10039.47,77.96,-7.56,795.75,25045.27,    
20.71,100370.11,-10033.78,78.17,-7.61,795.3,25044.77,    
20.7,100367.07,-10037.33,77.98,-7.79,795.59,25045.11,    
20.71,100367.67,-10035.82,77.96,-7.84,795.48,25044.96,    
20.7,100368.39,-10037.81,77.87,-7.7,795.62,25045.12,    
20.7,100366.42,-10036.99,78.04,-7.77,795.57,25045.06,    
20.7,100370.19,-10032.46,77.72,-8.11,795.2,25044.69,    
20.7,100368.71,-10037.66,77.85,-7.73,795.6,25045.13,    
20.69,100366.46,-10041.12,78.04,-7.43,795.88,25045.36,    
20.68,100367.82,-10036.5,77.92,-7.81,795.53,25044.98,    
20.68,100366.86,-10038.16,78,-7.68,795.66,25045.15,    
20.68,100368,-10035.55,77.91,-7.88,795.45,25044.93,    
20.67,100370.03,-10039.83,77.74,-7.55,795.76,25045.26,    
20.67,100368.83,-10037.46,77.84,-7.74,795.59,25045.06,    
20.66,100367.28,-10039.73,77.97,-7.56,795.77,25045.26,    
20.66,100367.78,-10035.93,77.93,-7.85,795.48,25044.95,    
20.65,100365.18,-10036.05,78.14,-7.85,795.51,25045.01,    
20.67,100365.62,-10034.71,78.11,-7.97,795.41,25044.9,    
20.66,100368.09,-10035.87,77.9,-7.87,795.48,25044.98,    
20.66,100371.38,-10037.27,77.62,-7.75,795.55,25045.05,    
20.66,100370.07,-10037.1,77.73,-7.76,795.55,25045.04,    
20.66,100370.56,-10036.55,77.69,-7.81,795.51,25045,    
20.65,100371.39,-10037.01,77.73,-7.64,795.54,25045.03,    
20.65,100369.76,-10037.64,77.76,-7.73,795.59,25045.09,    
20.64,100367.38,-10038.84,77.96,-7.62,795.7,25045.19,    
20.64,100366.89,-10037.78,78,-7.71,795.63,25045.1,    
20.64,100368.19,-10036.95,77.89,-7.78,795.55,25045.04,    
20.64,100370.33,-10035.26,77.71,-7.9,795.41,25044.9,    
20.65,100372.1,-10035.11,77.56,-7.93,795.39,25044.89,    
20.64,100369.68,-10039.68,77.76,-7.55,795.75,25045.25,    
20.65,100370.79,-10035.29,77.67,-7.92,795.41,25044.88,    
20.65,100367.36,-10039.35,77.96,-7.6,795.74,25045.25,    
20.65,100368.17,-10036.81,77.89,-7.79,795.54,25045.02,    
20.65,100370.14,-10032.45,77.73,-8.2,795.2,25044.69,    
20.65,100372.38,-10035.5,77.54,-7.88,795.41,25044.94,    
20.64,100369.68,-10039.57,77.76,-7.56,795.74,25045.24,    
20.64,100366.39,-10036.38,78.04,-7.83,795.53,25045,    
20.63,100367.91,-10037.12,77.92,-7.76,795.57,25045.07,    
20.64,100370.16,-10035.38,77.73,-7.91,795.42,25044.91,    
20.64,100370.99,-10034.16,77.66,-8.01,795.32,25044.83,    
20.64,100366.89,-10038.35,78,-7.66,795.67,25045.18,    
20.64,100372.77,-10035.9,77.77,-7.58,795.44,25044.92,    
20.63,100365.99,-10040.45,78.08,-7.51,795.83,25045.34,    
20.63,100367.46,-10036.65,78.12,-7.64,795.54,25045,    
20.62,100369.44,-10037.15,77.79,-7.77,795.56,25045.05,    
20.61,100367.35,-10038.64,77.96,-7.64,795.69,25045.18,    
20.62,100368.78,-10036.7,77.84,-7.82,795.53,25045.01,    
20.62,100367.33,-10037.03,77.96,-7.78,795.57,25045.06,    
20.61,100367.67,-10038.29,77.93,-7.67,795.66,25045.15,    
20.63,100372.69,-10033.86,77.51,-8.04,795.29,25044.77,    
20.61,100366.86,-10041.99,78,-7.38,795.94,25045.46,    
20.61,100368.88,-10037.77,77.83,-7.71,795.61,25045.07,    
20.61,100367.72,-10036.41,77.93,-7.82,795.52,25045,    
20.62,100367.82,-10035.13,77.92,-7.93,795.42,25044.92,    
20.61,100367.24,-10040.78,77.97,-7.44,795.85,25045.35,    
20.61,100367.85,-10036.43,77.92,-7.81,795.52,25044.98,    
20.61,100368.39,-10036.34,77.87,-7.83,795.51,25045,    
20.6,100367.75,-10036.56,77.93,-7.81,795.53,25045.03,    
20.62,100365.21,-10037.27,78.14,-7.77,795.6,25045.09,    
20.62,100368.64,-10036.75,77.85,-7.8,795.54,25045.02,    
20.61,100371.11,-10035.59,77.87,-7.67,795.43,25044.93,    
20.62,100367.33,-10037.69,77.96,-7.74,795.62,25045.12,    
20.61,100368.82,-10037.83,77.99,-7.56,795.62,25045.1,    
20.61,100369.32,-10034.94,77.8,-7.97,795.4,25044.88,    
20.61,100370.46,-10036.44,77.7,-7.82,795.5,25045,    
20.61,100369.53,-10037.83,77.78,-7.71,795.61,25045.11,    
20.6,100370.69,-10037.36,77.68,-7.74,795.57,25045.05,    
20.61,100365.93,-10038.34,78.08,-7.68,795.68,25045.16,    
20.6,100367.25,-10037.2,77.97,-7.76,795.58,25045.06,    
20.61,100366.58,-10036.23,78.03,-7.84,795.51,25045,    
20.61,100367.4,-10035.91,77.96,-7.85,795.48,25044.98,    
20.6,100364,-10040.3,78.24,-7.51,795.84,25045.33,    
20.61,100370.62,-10032.41,77.69,-8.16,795.2,25044.66,    
20.6,100367.28,-10040.49,77.97,-7.47,795.83,25045.35,    
20.61,100370.02,-10034.55,77.74,-7.97,795.36,25044.83,    
20.6,100368.58,-10038.76,77.86,-7.63,795.69,25045.2,    
20.6,100371.02,-10035.48,77.65,-7.9,795.42,25044.9,    
20.6,100369.72,-10036.95,77.76,-7.75,795.54,25045.05,    
20.61,100369.69,-10035.85,77.76,-7.88,795.46,25044.95,    
20.59,100369.28,-10037.27,77.8,-7.75,795.57,25045.07,    
20.6,100370.36,-10033.41,77.71,-8.07,795.27,25044.76,    
20.6,100368.58,-10038.42,77.83,-7.7,795.66,25045.18,    
20.6,100370.2,-10036.05,77.72,-7.85,795.47,25044.95,    
20.6,100369.07,-10038.1,77.78,-7.73,795.63,25045.13,    
20.61,100371.32,-10033.09,77.63,-8.1,795.24,25044.73,    
20.59,100367.82,-10040.2,77.92,-7.53,795.8,25045.33,    
