Temperature, Pressure, Relative Pressure, Approx altitude, Relative altitude, Calculated Height, Relative Calculated Height, 
20.48,100394.39,-10038.78,75.79,-7.53,795.5,25044.99,    
20.46,100392.32,-10040.53,75.86,-7.47,795.64,25045.14,    
20.45,100389.28,-10040.47,76.12,-7.48,795.66,25045.14,    
20.45,100389.45,-10038.16,76.11,-7.68,795.49,25044.97,    
20.45,100392.86,-10036.72,75.82,-7.77,795.35,25044.85,    
20.46,100392,-10039.11,75.89,-7.6,795.54,25045.05,    
20.46,100393.13,-10038,75.8,-7.69,795.45,25044.94,    
20.46,100391.98,-10039.77,75.89,-7.54,795.59,25045.09,    
20.46,100391.49,-10040.84,75.94,-7.48,795.67,25045.16,    
20.45,100391.41,-10041.86,75.94,-7.37,795.75,25045.23,    
20.45,100390.91,-10038.51,75.98,-7.65,795.5,25044.97,    
20.45,100390.75,-10040.06,76,-7.52,795.62,25045.12,    
20.44,100388.83,-10042.15,76.16,-7.36,795.79,25045.27,    
20.43,100391.67,-10039.74,75.92,-7.54,795.59,25045.06,    
20.42,100393.65,-10039.48,75.75,-7.57,795.55,25045.04,    
20.42,100393,-10039.42,75.81,-7.59,795.55,25045.05,    
20.42,100393.35,-10039.87,75.78,-7.53,795.59,25045.08,    
20.4,100391.8,-10041.62,75.91,-7.38,795.73,25045.22,    
20.41,100394.72,-10038.38,75.66,-7.66,795.46,25044.94,    
20.39,100392.19,-10042.79,75.86,-7.32,795.81,25045.31,    
20.39,100391.7,-10040.39,75.92,-7.51,795.64,25045.1,    
20.39,100391.88,-10039.67,75.81,-7.66,795.58,25045.06,    
20.39,100395.14,-10036.44,75.63,-7.8,795.31,25044.8,    
20.39,100396.13,-10038.33,75.55,-7.64,795.45,25044.96,    
20.37,100388.53,-10041.97,76.18,-7.35,795.78,25045.28,    
20.38,100393.36,-10036.64,75.78,-7.81,795.34,25044.81,    
20.39,100395.47,-10036.34,75.6,-7.83,795.31,25044.82,    
20.38,100394.84,-10041.65,75.66,-7.4,795.71,25045.22,    
20.38,100393.21,-10038.2,75.79,-7.65,795.46,25044.94,    
20.38,100393.86,-10039.49,75.74,-7.57,795.55,25045.06,    
20.36,100390.53,-10043.53,76.02,-7.24,795.88,25045.37,    
20.36,100389.43,-10040.8,76.11,-7.46,795.68,25045.14,    
20.35,100389.78,-10040.01,76.08,-7.52,795.62,25045.1,    
20.36,100394.17,-10036.23,75.71,-7.83,795.31,25044.79,    
20.36,100394.94,-10036.95,75.65,-7.78,795.36,25044.87,    
20.37,100394.6,-10039.2,75.67,-7.59,795.53,25045.04,    
20.35,100392.39,-10040.94,75.86,-7.44,795.67,25045.17,    
20.35,100390.92,-10039.12,75.98,-7.59,795.55,25045.03,    
20.36,100393.63,-10037.31,75.76,-7.75,795.39,25044.88,    
20.36,100391.83,-10038.78,75.91,-7.62,795.51,25045.02,    
20.36,100394.12,-10038.34,75.88,-7.47,795.46,25044.96,    
20.36,100396.08,-10037.84,75.55,-7.7,795.41,25044.91,    
20.36,100391.5,-10040.48,75.94,-7.48,795.64,25045.15,    
20.36,100391.5,-10039.15,75.94,-7.59,795.54,25045.02,    
20.36,100393.14,-10037.77,75.8,-7.68,795.43,25044.92,    
20.36,100391.02,-10040.32,75.98,-7.5,795.64,25045.14,    
20.38,100393.09,-10037.16,75.8,-7.76,795.39,25044.87,    
20.36,100393.14,-10040.37,75.8,-7.49,795.63,25045.13,    
20.37,100391.66,-10038.77,75.92,-7.63,795.51,25045,    
20.37,100392.8,-10040.3,75.83,-7.51,795.62,25045.12,    
20.37,100393.92,-10039.45,75.73,-7.57,795.55,25045.03,    
20.37,100391.98,-10041.76,75.89,-7.4,795.74,25045.23,    
20.37,100393.28,-10040.07,75.79,-7.53,795.6,25045.08,    
20.36,100393.19,-10040.7,75.79,-7.46,795.65,25045.14,    
20.37,100392.31,-10038.34,75.87,-7.66,795.48,25044.96,    
20.36,100392.86,-10038.02,75.82,-7.71,795.45,25044.95,    
20.36,100391.88,-10039.19,75.9,-7.59,795.54,25045.04,    
20.36,100394.99,-10036.35,75.64,-7.81,795.31,25044.8,    
20.35,100388,-10042.71,76.23,-7.3,795.84,25045.35,    
20.35,100392.74,-10037.95,75.83,-7.67,795.45,25044.91,    
20.34,100391.49,-10040.37,75.94,-7.47,795.64,25045.14,    
20.33,100393.8,-10039.41,75.7,-7.62,795.55,25045.03,    
20.32,100390.78,-10042.13,75.99,-7.34,795.77,25045.26,    
20.31,100390.14,-10040.21,76.05,-7.5,795.64,25045.11,    
20.32,100390.46,-10039.13,76.02,-7.62,795.55,25045.03,    
20.3,100391.85,-10041.2,75.91,-7.42,795.7,25045.19,    
20.31,100394.41,-10036.36,75.69,-7.83,795.31,25044.79,    
20.3,100392.5,-10040.27,75.85,-7.5,795.62,25045.14,    
20.3,100394.78,-10039.84,75.66,-7.54,795.57,25045.06,    
20.3,100393.14,-10040.05,75.8,-7.51,795.6,25045.09,    
20.3,100392.5,-10037.7,75.85,-7.73,795.43,25044.92,    
20.3,100392,-10039.81,75.89,-7.54,795.59,25045.1,    
20.29,100392.71,-10038.65,75.83,-7.62,795.5,25044.99,    
20.3,100393.99,-10037.16,75.73,-7.75,795.38,25044.87,    
20.29,100392.06,-10040.76,75.89,-7.46,795.66,25045.17,    
20.29,100392.21,-10039.96,75.88,-7.52,795.6,25045.08,    
20.28,100391.8,-10040.33,75.91,-7.51,795.63,25045.12,    
20.28,100392.92,-10038.03,75.81,-7.68,795.45,25044.93,    
20.28,100395.53,-10034.8,75.6,-7.96,795.19,25044.69,    
20.27,100391.82,-10042.62,75.91,-7.3,795.8,25045.33,    
20.28,100391.63,-10038.48,76.14,-7.43,795.49,25044.96,    
20.27,100391.32,-10038.01,75.95,-7.69,795.46,25044.96,    
20.27,100391.82,-10038.84,75.76,-7.77,795.52,25045.02,    
20.27,100390.36,-10040.5,76.03,-7.46,795.65,25045.15,    
20.26,100388.78,-10041.19,76.16,-7.45,795.72,25045.2,    
20.27,100389.55,-10040.16,76.1,-7.53,795.64,25045.11,    
20.27,100392.64,-10037.77,75.84,-7.71,795.43,25044.91,    
20.26,100389.45,-10041.72,76.11,-7.38,795.75,25045.25,    
20.27,100391.01,-10038.89,75.98,-7.64,795.53,25045,    
20.27,100389.87,-10041.73,76.07,-7.4,795.75,25045.24,    
20.25,100389.79,-10041.42,76.08,-7.4,795.73,25045.2,    
20.25,100391.42,-10038.55,75.94,-7.62,795.5,25044.98,    
20.26,100395.33,-10036.52,75.61,-7.79,795.32,25044.82,    
20.24,100389.55,-10041.98,76.1,-7.38,795.77,25045.29,    
20.24,100389.55,-10038.97,76.1,-7.61,795.55,25045.02,    
20.24,100391.33,-10037.02,75.95,-7.77,795.39,25044.88,    
20.25,100390.3,-10038.55,76.04,-7.64,795.51,25045.02,    
20.24,100392.63,-10037.15,75.84,-7.77,795.39,25044.89,    
20.24,100392.14,-10040.05,75.88,-7.53,795.61,25045.11,    
20.24,100393.61,-10039.22,75.76,-7.59,795.54,25045.02,    
20.23,100392.67,-10040.6,75.84,-7.47,795.64,25045.14,    
20.23,100392.22,-10039.95,76.09,-7.33,795.6,25045.08,    
20.23,100393.7,-10038.97,75.75,-7.63,795.51,25045,    
20.23,100394.35,-10039.43,75.7,-7.57,795.54,25045.04,    
20.23,100392.88,-10039.44,75.82,-7.57,795.56,25045.05,    
20.23,100394.51,-10038.57,75.68,-7.63,795.48,25044.97,    
20.23,100392.83,-10039.42,75.82,-7.56,795.56,25045.05,    
20.23,100390.75,-10040.56,76,-7.47,795.66,25045.15,    
20.24,100393.79,-10038.98,75.74,-7.61,795.51,25045,    
20.23,100391.69,-10039.61,75.92,-7.54,795.58,25045.07,    
20.23,100392.07,-10038.3,75.89,-7.65,795.48,25044.97,    
20.24,100394.28,-10037.38,75.7,-7.74,795.39,25044.89,    
20.23,100391.89,-10041.9,75.9,-7.36,795.75,25045.25,    
20.23,100392.83,-10037.82,75.82,-7.7,795.44,25044.91,    
20.23,100394.78,-10038.37,75.66,-7.66,795.46,25044.96,    
20.23,100393.16,-10040.05,75.8,-7.52,795.6,25045.1,    
20.23,100393.49,-10037.99,75.77,-7.71,795.44,25044.93,    
20.24,100397.21,-10036.15,75.46,-7.83,795.28,25044.78,    
20.24,100394.1,-10039.96,75.72,-7.54,795.59,25045.1,    
20.24,100392.8,-10039.29,75.83,-7.58,795.55,25045.04,    
20.24,100391.18,-10040.18,75.8,-7.67,795.63,25045.12,    
20.24,100392.97,-10036.49,75.81,-7.77,795.34,25044.82,    
20.23,100394.46,-10039.85,75.69,-7.53,795.58,25045.09,    
20.23,100390.92,-10040.47,75.98,-7.48,795.65,25045.14,    
20.24,100395.08,-10037.01,75.64,-7.77,795.36,25044.84,    
20.24,100392.97,-10039.91,75.81,-7.53,795.59,25045.1,    
20.24,100395.08,-10038.16,75.64,-7.69,795.44,25044.93,    
20.23,100391.85,-10041.7,75.91,-7.38,795.73,25045.24,    
20.23,100392.07,-10040.66,75.89,-7.49,795.65,25045.13,    
20.23,100395,-10040.83,75.64,-7.45,795.64,25045.13,    
20.23,100393.82,-10039.23,75.74,-7.6,795.53,25045.01,    
20.22,100392.59,-10040.62,75.84,-7.46,795.65,25045.14,    
20.21,100393.25,-10039.23,75.79,-7.56,795.54,25045.02,    
20.21,100395.92,-10038.02,75.56,-7.69,795.43,25044.92,    
20.21,100392,-10043.23,75.89,-7.26,795.85,25045.35,    
20.19,100391.89,-10040.13,75.9,-7.51,795.62,25045.08,    
20.2,100392.2,-10039.45,75.88,-7.57,795.56,25045.05,    
20.19,100388.35,-10040.82,76.2,-7.46,795.69,25045.18,    
20.2,100394.16,-10037.49,75.71,-7.74,795.4,25044.88,    
20.19,100393.52,-10041.92,75.76,-7.36,795.74,25045.24,    
20.19,100392.1,-10040.01,75.89,-7.52,795.6,25045.08,    
20.19,100393.69,-10038.3,76.01,-7.4,795.46,25044.95,    
20.21,100393.14,-10038.92,75.8,-7.66,795.51,25045.01,    
20.2,100393.01,-10040.68,75.81,-7.46,795.65,25045.15,    
20.18,100390,-10043.64,76.06,-7.22,795.89,25045.37,    
20.2,100394.16,-10035.24,75.71,-7.91,795.23,25044.69,    
20.2,100394.32,-10038.96,75.7,-7.6,795.51,25045.03,    
20.2,100394.49,-10038.39,75.69,-7.66,795.47,25044.96,    
20.19,100393.4,-10041.33,75.78,-7.41,795.69,25045.19,    
20.2,100393.83,-10037.52,75.74,-7.72,795.41,25044.88,    
20.19,100393.74,-10038.16,75.75,-7.65,795.45,25044.96,    
20.19,100392.86,-10038.45,75.82,-7.65,795.48,25044.98,    
20.18,100391.96,-10040.26,75.9,-7.48,795.63,25045.12,    
20.19,100393.4,-10038.24,75.78,-7.67,795.46,25044.95,    
20.18,100390.97,-10042.34,75.98,-7.33,795.79,25045.29,    
20.18,100389.85,-10039.88,76.07,-7.53,795.61,25045.08,    
20.17,100388.57,-10040.01,76.18,-7.54,795.63,25045.12,    
20.16,100387.61,-10040.72,76.26,-7.46,795.69,25045.17,    
20.18,100393.93,-10035.12,75.73,-7.93,795.22,25044.7,    
20.17,100391.96,-10039.76,75.9,-7.54,795.59,25045.11,    
20.17,100391.85,-10039.01,76.13,-7.38,795.53,25045.02,    
20.17,100391.8,-10038.87,75.91,-7.64,795.52,25045.02,    
20.16,100391.53,-10040.32,75.84,-7.58,795.63,25045.13,    
20.17,100392.17,-10038.48,75.88,-7.64,795.49,25044.97,    
20.16,100393.49,-10039.08,75.77,-7.6,795.53,25045.02,    
20.16,100395.46,-10037.91,75.6,-7.68,795.42,25044.92,    
20.16,100393,-10039.35,75.81,-7.57,795.55,25045.05,    
20.16,100393.35,-10040.53,75.78,-7.48,795.64,25045.13,    
20.16,100393.35,-10039.02,75.78,-7.61,795.52,25045,    
20.15,100396,-10037.92,75.56,-7.67,795.42,25044.91,    
20.15,100396.17,-10039.45,75.54,-7.57,795.53,25045.04,    
20.15,100396.67,-10039.27,75.5,-7.57,795.51,25045.01,    
20.15,100396.82,-10038.53,75.49,-7.64,795.46,25044.95,    
20.15,100396.33,-10040.34,75.53,-7.47,795.6,25045.1,    
20.16,100396.6,-10039.24,75.51,-7.6,795.51,25045,    
20.15,100398.29,-10038.76,75.37,-7.63,795.46,25044.96,    
20.17,100398.05,-10038.54,75.39,-7.64,795.45,25044.95,    
20.16,100395.47,-10042.8,75.6,-7.27,795.79,25045.29,    
20.16,100397.9,-10037.62,75.4,-7.71,795.38,25044.85,    
20.16,100397.9,-10039.89,75.4,-7.53,795.55,25045.06,    
20.15,100395.35,-10041.7,75.61,-7.38,795.71,25045.2,    
20.16,100395.96,-10039.26,75.59,-7.57,795.52,25045,    
20.16,100397.42,-10037.5,75.44,-7.71,795.38,25044.87,    
20.16,100401.33,-10038.3,75.16,-7.61,795.41,25044.92,    
20.15,100397.47,-10041.7,75.43,-7.38,795.69,25045.2,    
20.15,100398.13,-10039.6,75.38,-7.56,795.53,25045.01,    
20.16,100398.74,-10039.64,75.33,-7.56,795.53,25045.02,    
20.15,100399.92,-10039.73,75.23,-7.55,795.53,25045.02,    
20.15,100398.46,-10041.03,75.35,-7.44,795.63,25045.13,    
20.16,100398.08,-10039.27,75.38,-7.58,795.5,25044.99,    
20.14,100396.69,-10042.35,75.5,-7.33,795.75,25045.25,    
20.15,100401.24,-10037.81,75.12,-7.72,795.37,25044.84,    
20.15,100398.78,-10039.95,75.32,-7.53,795.55,25045.06,  
